OBJECTID,PA_ID,PA_PID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,NRS_MPA,GAZ_AREA,GIS_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,MGT_PLAN,RES_NUMBER,ZONE_TYPE,EPBC,LONGITUDE,LATITUDE,PA_SYSTEM,Shape__Area,Shape__Length
15691,TAS_14008,TAS_14008_c,Soldiers Marsh #3,Conservation Covenant,ACCP,IV,Y,,0,260.25204537,2018/01/10 00:00:00+00,2018/01/10 00:00:00+00,TAS,TAS_PRIV,NRE_TAS,P,PAPL,T,1,M,TAS14008,,Private,146.99843082,-42.19270085,NRS,0.000283642663077994,0.0913699689877692
15692,QLD_NR72,QLD_NR72,Cloudland,Nature Refuge,NREF,II,Y,,80,79.87728561,2005/12/16 00:00:00+00,2005/12/16 00:00:00+00,QLD,SET,QLD_DES,P,PA_ID/PA_PID based on old Reserve Number.,T,1,N,PA247,,Private,145.5319755,-17.43469632,NRS,6.79360167276165e-05,0.0389110806074402
15694,NSW_N0148,NSW_N0148,Mount Pikapene,National Park,NP,II,Y,,2630,2609.98138519,1999/01/01 00:00:00+00,1999/01/01 00:00:00+00,NSW,NSW_DCCEEW,NSW_DCCEEW,J,,T,1,M,N0148,,State,152.70205568,-29.04930815,NRS,0.00241740876013974,0.600957835599966
15696,NSW_N0785,NSW_N0785,Fishermans Bend,Nature Reserve,NR,Ia,Y,,199,200.70821068,1999/03/05 00:00:00+00,2010/07/16 00:00:00+00,NSW,NSW_DCCEEW,NSW_DCCEEW,G,,T,1,M,N0785,,State,152.98306302,-30.84092819,NRS,0.00018923934180927,0.111693390998976
15697,VIC_2300,VIC_2300,Erskines No.2 B.R.,Natural Features Reserve,NFR,IV,Y,,8.136,8.13851012,1982/08/24 00:00:00+00,2003/08/26 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,2300,,State,143.61026363,-36.87156387,NRS,8.225090358039e-06,0.0152197670881893
15698,VIC_1800,VIC_1800,Yearinga I10 B.R.,Natural Features Reserve,NFR,IV,Y,,31.799,31.80360927,1987/09/22 00:00:00+00,1992/07/15 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,1800,,State,141.12450786,-36.30520501,NRS,3.1910063501821e-05,0.0332612172584658
15699,SA_147,SA_147,Unnamed (No.HA147),Heritage Agreement,HA,III,Y,,21.8759129,21.85070257,1988/02/05 00:00:00+00,1988/02/05 00:00:00+00,SA,SA_DEW,SA_DEW,P,,T,1,N,SA_147,,State,140.4612531,-36.44212636,NRS,2.1962560766373e-05,0.0248521554569174
15700,TAS_50252,TAS_50252_i,Southwest,National Park,NP,II,Y,,0,0.00386014,1951/10/24 00:00:00+00,2013/12/18 00:00:00+00,TAS,NRE_TAS,NRE_TAS,G,,B,1,M,TAS50252,,State,146.08454359,-42.80627532,NRS,4.248118254e-09,0.000351436808793269
15702,VIC_1643,VIC_1643,Gobur G102 B.R,Natural Features Reserve,NFR,IV,Y,,12.646,12.65002528,1997/06/17 00:00:00+00,1997/06/17 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,1643,,State,145.58345551,-36.98023698,NRS,1.2802625649053e-05,0.0377691553026668
15703,SA_328,SA_328,Unnamed (No.HA328),Heritage Agreement,HA,III,Y,,668.37758684,668.47916225,1990/01/24 00:00:00+00,1990/01/24 00:00:00+00,SA,SA_DEW,SA_DEW,P,,T,1,N,SA_328,,State,137.49120005,-35.93899924,NRS,0.000667684294464669,0.166530088432322
15704,VIC_2683,VIC_2683,Eddington K25 SS.R.,Natural Features Reserve,NFR,III,Y,,3.582,3.58340309,1982/08/24 00:00:00+00,1982/08/24 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,2683,,State,143.86074901,-36.88045588,NRS,3.6219401334425e-06,0.0194695394996356
15705,SA_0055,SA_0055,Beachport,Conservation Park,CP,VI,Y,,5291.15783987,878.12211391,1959/01/01 00:00:00+00,2007/02/15 00:00:00+00,SA,SA_DEW,SA_DEW,G,,T,1,M,SA_0055,,State,139.96959448,-37.44391365,NRS,0.000894150025223554,0.328635428388016
15706,TAS_14196,TAS_14196_c,Rokeby Hills Reserve,Conservation Covenant,ACCP,IV,Y,,0,0.27996505,2010/09/14 00:00:00+00,2010/09/14 00:00:00+00,TAS,TAS_PRIV,NRE_TAS,P,Offset,T,1,M,TAS14196,,Private,147.42019837,-42.89580827,NRS,3.08541651966e-07,0.00626843888921857
15708,WA_44977,WA_44977,Unnamed WA44977,Nature Reserve,NR,Ia,Y,,26.5519,26.57158444,1997/12/09 00:00:00+00,1997/12/09 00:00:00+00,WA,WA_DBCA,WA_DBCA,G,,T,1,M,WA44977,,State,115.70630537,-32.71540344,NRS,2.5556058376404e-05,0.0909886806700333
15711,VIC_1436,VIC_1436,Byawatha B.R.,Natural Features Reserve,NFR,IV,Y,,2.033,2.03282774,1987/02/11 00:00:00+00,1991/04/23 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,1436,,State,146.47046755,-36.26854672,NRS,2.038763007581e-06,0.0060716180993165
15712,TAS_50126,TAS_50126_ai,Southwest,Conservation Area,CA,VI,Y,,0,30881.12785748,1966/04/13 00:00:00+00,2023/03/08 00:00:00+00,TAS,TAS_VAR,NRE_TAS,G,Small part ex-FPPF,B,1,M,TAS50126,,State,146.21201241,-42.71995771,NRS,0.0339402689067226,6.28813624429674
15713,VIC_1721,VIC_1721,Beenak Nature Conservation Area,Natural Features Reserve,NFR,IV,Y,,125.683,125.52372327,1997/06/17 00:00:00+00,1997/06/17 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,Update  Shape and Name 2024,T,1,N,1721,,State,145.61568337,-37.86255873,NRS,0.000128516632559484,0.087458560644106
15714,TAS_50734,TAS_50734_b,McDonalds Point,Conservation Area,CA,V,Y,,0,4.44446013,2011/08/03 00:00:00+00,2011/08/03 00:00:00+00,TAS,NRE_TAS,NRE_TAS,G,CLAC,B,1,N,TAS50734,,State,148.26001404,-41.31256585,NRS,4.7790620313755e-06,0.0283726199853912
15715,ACT_42,ACT_42_a,Stony Creek,Nature Reserve,NR,IV,Y,,0,827.48147983,1993/09/14 00:00:00+00,1993/09/14 00:00:00+00,ACT,ACT_EPSDD,ACT_EPSDD,G,,T,1,UR,ACT_42,,State,148.96019876,-35.31368011,NRS,0.000819954635440671,0.368525280650333
