"Supplied Name","verbatimScientificName","vernacularName","rawFamily","sourceStatus","status","IUCN_equivalent_status","taxonRank","guid","scientificName","genus","family","order","class","phylum","kingdom","vernacularName","matchType","nameType"
"Diuris ochroma","Diuris ochroma","Pale Golden Moths","Orchidaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51404273","Diuris ochroma","Diuris","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Pale Golden Moths","exactMatch",
"Eucalyptus argutifolia","Eucalyptus argutifolia","Yanchep Mallee, Wabling Hill Mallee","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2900705","Eucalyptus argutifolia","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Yanchep Mallee","exactMatch",
"Ramphotyphlops exocoeti","Ramphotyphlops exocoeti","Christmas Island Blind Snake, Christmas Island Pink Blind Snake","Typhlopidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/60cee5f9-e925-417a-911c-2f634482fc5f","Ramphotyphlops exocoeti","Ramphotyphlops","Typhlopidae","Squamata","Reptilia","Chordata","Animalia","Christmas Island Blind Snake","exactMatch",
"Persoonia hirsuta","Persoonia hirsuta","Hairy Geebung, Hairy Persoonia","Proteaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2902498","Persoonia hirsuta","Persoonia","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Hairy Geebung","exactMatch",
"Pomaderris delicata","Pomaderris delicata","-","Rhamnaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2915635","Pomaderris delicata","Pomaderris","Rhamnaceae","Rosales","Equisetopsida","Charophyta","Plantae","Delicate Pomaderris","exactMatch",
"Pultenaea glabra","Pultenaea glabra","Smooth Bush-pea, Swamp Bush-pea","Fabaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/7243412","Pultenaea glabra","Pultenaea","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae","Smooth Bush-pea","exactMatch",
"Grevillea molyneuxii","Grevillea molyneuxii","-","Proteaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2895073","Grevillea molyneuxii","Grevillea","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Wingello Grevillea","exactMatch",
"Eucalyptus kartzoffiana","Eucalyptus kartzoffiana","Araluen Gum","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2894835","Eucalyptus kartzoffiana","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Araluen Gum","exactMatch",
"Macrotis leucura","Macrotis leucura","Yallara, Lesser Bilby, Djoonpi","Thylacomyidae","Extinct","Extinct","Extinct","","https://biodiversity.org.au/afd/taxa/3d4c3424-d202-49ab-ab52-58a0d7e5d9ed","Macrotis leucura","Macrotis","Thylacomyidae","Peramelemorphia","Mammalia","Chordata","Animalia","Lesser Bilby","exactMatch",
"Asplenium listeri","Asplenium listeri","Christmas Island Spleenwort","Aspleniaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2919507","Asplenium listeri","Asplenium","Aspleniaceae","Polypodiales","Equisetopsida","Charophyta","Plantae","Christmas Island Spleenwort","exactMatch",
